Date,Plate,Well,Median
2026-02-23,20260223_ALI_HCE-T P82_Green-01,A1,1824
2026-02-23,20260223_ALI_HCE-T P82_Green-01,A2,2368
2026-02-23,20260223_ALI_HCE-T P82_Green-01,A3,48240
2026-02-23,20260223_ALI_HCE-T P82_Green-01,A4,2016
2026-02-23,20260223_ALI_HCE-T P82_Green-01,A5,1760
2026-02-23,20260223_ALI_HCE-T P82_Green-01,A6,1744
2026-02-23,20260223_ALI_HCE-T P82_Green-01,B1,1696
2026-02-23,20260223_ALI_HCE-T P82_Green-01,B2,2736
2026-02-23,20260223_ALI_HCE-T P82_Green-01,B3,55840
2026-02-23,20260223_ALI_HCE-T P82_Green-01,B4,1975
2026-02-23,20260223_ALI_HCE-T P82_Green-01,B5,1744
2026-02-23,20260223_ALI_HCE-T P82_Green-01,B6,1920
2026-02-23,20260223_ALI_HCE-T P82_Green-01,C1,1728
2026-02-23,20260223_ALI_HCE-T P82_Green-01,C2,2976
2026-02-23,20260223_ALI_HCE-T P82_Green-01,C3,30224
2026-02-23,20260223_ALI_HCE-T P82_Green-01,C4,2253
2026-02-23,20260223_ALI_HCE-T P82_Green-01,C5,1728
2026-02-23,20260223_ALI_HCE-T P82_Green-01,C6,2176
2026-02-23,20260223_ALI_HCE-T P82_Green-01,D1,1904
2026-02-23,20260223_ALI_HCE-T P82_Green-01,D2,3184
2026-02-23,20260223_ALI_HCE-T P82_Green-01,D3,23264
2026-02-23,20260223_ALI_HCE-T P82_Green-01,D4,2187
2026-02-23,20260223_ALI_HCE-T P82_Green-01,D5,1888
2026-02-23,20260223_ALI_HCE-T P82_Green-01,D6,2112
2026-02-23,20260223_ALI_HCE-T P82_Green-02,A1,1824
2026-02-23,20260223_ALI_HCE-T P82_Green-02,A2,2768
2026-02-23,20260223_ALI_HCE-T P82_Green-02,A3,54736
2026-02-23,20260223_ALI_HCE-T P82_Green-02,A4,2032
2026-02-23,20260223_ALI_HCE-T P82_Green-02,A5,2080
2026-02-23,20260223_ALI_HCE-T P82_Green-02,A6,2032
2026-02-23,20260223_ALI_HCE-T P82_Green-02,B1,1904
2026-02-23,20260223_ALI_HCE-T P82_Green-02,B2,3744
2026-02-23,20260223_ALI_HCE-T P82_Green-02,B3,11648
2026-02-23,20260223_ALI_HCE-T P82_Green-02,B4,2032
2026-02-23,20260223_ALI_HCE-T P82_Green-02,B5,1891
2026-02-23,20260223_ALI_HCE-T P82_Green-02,B6,2144
2026-02-23,20260223_ALI_HCE-T P82_Green-02,C1,1904
2026-02-23,20260223_ALI_HCE-T P82_Green-02,C2,2992
2026-02-23,20260223_ALI_HCE-T P82_Green-02,C3,34400
2026-02-23,20260223_ALI_HCE-T P82_Green-02,C4,1968
2026-02-23,20260223_ALI_HCE-T P82_Green-02,C5,1904
2026-02-23,20260223_ALI_HCE-T P82_Green-02,C6,2096
2026-02-23,20260223_ALI_HCE-T P82_Green-02,D1,2032
2026-02-23,20260223_ALI_HCE-T P82_Green-02,D2,3312
2026-02-23,20260223_ALI_HCE-T P82_Green-02,D3,44576
2026-02-23,20260223_ALI_HCE-T P82_Green-02,D4,2560
2026-02-23,20260223_ALI_HCE-T P82_Green-02,D5,2024
2026-02-23,20260223_ALI_HCE-T P82_Green-02,D6,2080
2026-02-23,20260223_ALI_HCE-T P82_Green-03,B1,1792
2026-02-23,20260223_ALI_HCE-T P82_Green-03,B2,2752
2026-02-23,20260223_ALI_HCE-T P82_Green-03,B3,5776
2026-02-23,20260223_ALI_HCE-T P82_Green-03,B4,2096
2026-02-23,20260223_ALI_HCE-T P82_Green-03,B5,1996
2026-02-23,20260223_ALI_HCE-T P82_Green-03,B6,2113
2026-02-23,20260223_ALI_HCE-T P82_Green-03,C1,1776
2026-02-23,20260223_ALI_HCE-T P82_Green-03,C2,3008
2026-02-23,20260223_ALI_HCE-T P82_Green-03,C3,37776
2026-02-23,20260223_ALI_HCE-T P82_Green-03,C4,2032
2026-02-23,20260223_ALI_HCE-T P82_Green-03,C5,2160
2026-02-23,20260223_ALI_HCE-T P82_Green-03,C6,2176
2026-02-23,20260223_ALI_HCE-T P82_Green-04,A1,1228
2026-02-23,20260223_ALI_HCE-T P82_Green-04,A2,1248
2026-02-23,20260223_ALI_HCE-T P82_Green-04,A3,1232
2026-02-23,20260223_ALI_HCE-T P82_Green-04,A4,1184
2026-02-23,20260223_ALI_HCE-T P82_Green-04,A5,1184
2026-02-23,20260223_ALI_HCE-T P82_Green-04,B1,1955
2026-02-23,20260223_ALI_HCE-T P82_Green-04,B2,2000
2026-02-23,20260223_ALI_HCE-T P82_Green-04,B3,2176
2026-02-23,20260223_ALI_HCE-T P82_Green-04,B4,1920
2026-02-23,20260223_ALI_HCE-T P82_Green-04,B5,1862
2026-02-23,20260223_ALI_HCE-T P82_Green-04,C1,1952
2026-02-23,20260223_ALI_HCE-T P82_Green-04,C2,1920
2026-02-23,20260223_ALI_HCE-T P82_Green-04,C3,2013
2026-02-23,20260223_ALI_HCE-T P82_Green-04,C4,1936
2026-02-23,20260223_ALI_HCE-T P82_Green-04,C5,1936
2026-02-23,20260223_ALI_HCE-T P82_Green-04,D1,1184
2026-02-23,20260223_ALI_HCE-T P82_Green-04,D2,1200
2026-02-23,20260223_ALI_HCE-T P82_Green-04,D3,1184
2026-02-23,20260223_ALI_HCE-T P82_Green-04,D4,1200
2026-02-23,20260223_ALI_HCE-T P82_Green-04,D5,1184
